Year-Quarter,Day,Date,City,State,"City, ST",Country,Commodity,Value,Type of Loss,Location,Additional Information,Recovery?,Time,General Category
2020-Q1,Saturday,1/18/20,Brampton,ON,"Brampton, ON",CAN,Tires,140000,Cargo theft,Drop lot,No additional details,,Early AM,Automobile & Parts
2020-Q1,Saturday,1/18/20,Columbus,OH,"Columbus, OH",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,Overnight,Mixed cargo
2020-Q1,Saturday,1/18/20,French Camp,CA,"French Camp, CA",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,Overnight,Mixed cargo
2020-Q1,Sunday,1/19/20,Detroit,MI,"Detroit, MI",USA,Mixed goods,,Seal break,Receivers,No additional details,No loss,,Mixed cargo
2020-Q1,Sunday,1/19/20,Stockton,CA,"Stockton, CA",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q1,Sunday,1/19/20,Shreveport,LA,"Shreveport, LA",USA,Beer,2000,Pilferage,Parking lot,No additional details,,,Tobacco & Alcohol
2020-Q1,Monday,1/20/20,Lauderdale Lakes,FL,"Lauderdale Lakes, FL",USA,Apparel,30000,Cargo theft,Parking lot,No additional details,,Overnight,Apparel
2020-Q1,Monday,1/20/20,Pearl,MS,"Pearl, MS",USA,Tiles,,Seal break,Truck stop/Gas station,US 80,No loss,Overnight,Construction & Industrial goods
2020-Q1,Monday,1/20/20,Richmond,IN,"Richmond, IN",USA,Mixed goods,,Seal break,Truck stop/Gas station,US 35,No loss,Overnight,Mixed cargo
2020-Q1,Wednesday,1/22/20,Macon,GA,"Macon, GA",USA,Paper,1000,Pilferage,Unsecured location,No additional details,,Overnight,"Cleaning, Plastic, & Paper"
2020-Q1,Wednesday,1/22/20,North Las Vegas,NV,"North Las Vegas, NV",USA,Plastics,3000,Cargo theft,Parking lot,No additional details,,Early AM,"Cleaning, Plastic, & Paper"
2020-Q1,Wednesday,1/22/20,Elizabethtown,KY,"Elizabethtown, KY",USA,Mixed goods,,Seal break,Truck stop/Gas station,Glendale Hodgenville Rd,No loss,,Mixed cargo
2020-Q1,Wednesday,1/22/20,Tampa,FL,"Tampa, FL",USA,Cigarettes,12000,Pilferage,Parking lot,No additional details,,,Tobacco & Alcohol
2020-Q1,Thursday,1/23/20,Compton,CA,"Compton, CA",USA,Computers/Laptops,165000,Cargo theft,Warehouse,No additional details,,,Consumer electronics
2020-Q1,Thursday,1/23/20,Feura Bush,NY,"Feura Bush, NY",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q1,Friday,1/24/20,Davie,FL,"Davie, FL",USA,Apparel,215000,Cargo theft,Secure yard,No additional details,,Overnight,Apparel
2020-Q1,Friday,1/24/20,Dallas,TX,"Dallas, TX",USA,Roofing materials,57372,Cargo theft,Secure yard,No additional details,,Overnight,Construction & Industrial goods
2020-Q1,Saturday,1/25/20,San Antonio,FL,"San Antonio, FL",USA,Meat,165000,Cargo theft,Roadside,No additional details,,Overnight,Food & Drinks
2020-Q1,Saturday,1/25/20,Augusta,GA,"Augusta, GA",USA,Mixed goods,,Seal break,Parking lot,No additional details,No loss,,Mixed cargo
2020-Q1,Saturday,1/25/20,Reddick,FL,"Reddick, FL",USA,Mixed goods,,Seal break,Truck stop/Gas station,Contry Hwy 318,No loss,,Mixed cargo
2020-Q1,Sunday,1/26/20,Morris,IL,"Morris, IL",USA,Cereal,,Seal break,Truck stop/Gas station,Romines Dr,No loss,Overnight,Food & Drinks
2020-Q1,Sunday,1/26/20,Morris,IL,"Morris, IL",USA,Bathtubs,,Seal break,Truck stop/Gas station,Romines Dr,No loss,Overnight,Household & Appliances
