Year-Quarter,Day,Date,City,State,"City, ST",Country,Commodity,Value,Type of Loss,Location,Additional Information,Recovery?,Time,General Category
2020-Q1,Monday,3/16/20,Okemah,OK,"Okemah, OK",USA,Helicopter blades,100000,Cargo theft,Truck stop/Gas station,No additional details,Recovered,,Automobile & Parts
2020-Q1,Monday,3/16/20,Chicago,IL,"Chicago, IL",USA,Air conditioners,1600,Pilferage,Rail yard,No additional details,,,Household & Appliances
2020-Q1,Tuesday,3/17/20,South Holland,IL,"South Holland, IL",USA,Inverters,15000,Pilferage,Rest area,Tri-State Tollway,,Early AM,Construction & Industrial goods
2020-Q1,Tuesday,3/17/20,Monroe Township,NJ,"Monroe Township, NJ",USA,Headphones,,Seal break,Unsecured location,No additional details,No loss,,Consumer electronics
2020-Q1,Tuesday,3/17/20,Columbia,SC,"Columbia, SC",USA,Household goods,1000,Pilferage,Parking lot,No additional details,,,Household & Appliances
2020-Q1,Tuesday,3/17/20,Columbia,SC,"Columbia, SC",USA,Household goods,3000,Pilferage,Parking lot,No additional details,,,Household & Appliances
2020-Q1,Wednesday,3/18/20,San Bernardino,CA,"San Bernardino, CA",USA,Electric toothbrushes,1400,Pilferage,WH yard/parking,No additional details,,Overnight,Beauty & Personal Care
2020-Q1,Thursday,3/19/20,Dallas,TX,"Dallas, TX",USA,Sports drinks,200,Pilferage,Roadside,No additional details,,Afternoon,Food & Drinks
2020-Q1,Thursday,3/19/20,Lost Hills,CA,"Lost Hills, CA",USA,Almonds,100000,Cargo theft,Origin/DC,Fictitious pickup,,Evening,Food & Drinks
2020-Q1,Friday,3/20/20,Mesquite,TX,"Mesquite, TX",USA,Garden supplies,,Seal break,Truck stop/Gas station,No additional details,No loss,,"Animal, Farm, & Equipment"
2020-Q1,Friday,3/20/20,Dallas,TX,"Dallas, TX",USA,Toilet paper,13500,Cargo theft,Unsecured location,No additional details,,Morning,"Cleaning, Plastic, & Paper"
2020-Q1,Friday,3/20/20,Memphis,TN,"Memphis, TN",USA,Diapers,20000,Cargo theft,Parking lot,No additional details,,Early AM,"Cleaning, Plastic, & Paper"
2020-Q1,Saturday,3/21/20,Birmingham,AL,"Birmingham, AL",USA,Charcoal,431,Pilferage,Roadside,No additional details,,,Merchandise
2020-Q1,Saturday,3/21/20,Tolleson,AZ,"Tolleson, AZ",USA,Mixed goods,,Cargo theft,Truck stop/Gas station,Roosevelt St,No loss,,Mixed cargo
2020-Q1,Sunday,3/22/20,Opelika,AL,"Opelika, AL",USA,Straw,7500,Cargo theft,Roadside,No additional details,,,"Animal, Farm, & Equipment"
2020-Q1,Sunday,3/22/20,Chicago,IL,"Chicago, IL",USA,Plastics,2500,Cargo theft,Carrier yard/parking,No additional details,,,"Cleaning, Plastic, & Paper"
2020-Q1,Sunday,3/22/20,Lake Charles,LA,"Lake Charles, LA",USA,Cameras,3000,Pilferage,Truck stop/Gas station,I-20,,,Consumer electronics
2020-Q1,Monday,3/23/20,Riverton,IL,"Riverton, IL",USA,Copper flake,700000,Cargo theft,Origin/DC,Fictitious pickup -7 shipments involved,,,Metals
2020-Q1,Monday,3/23/20,Riverton,IL,"Riverton, IL",USA,Metals,80000,Cargo theft,Origin/DC,Fictitious pickup,,,Metals
2020-Q1,Tuesday,3/24/20,Rocky Top,TN,"Rocky Top, TN",USA,Household goods,,Seal break,Parking lot,No additional details,No loss,,Household & Appliances
2020-Q1,Tuesday,3/24/20,Troy,IN,"Troy, IN",USA,Copper,196000,Cargo theft,Origin/DC,Fictitious pickup,,,Metals
2020-Q1,Wednesday,3/25/20,Odessa,TX,"Odessa, TX",USA,Water,100,Pilferage,Parking lot,No additional details,,Afternoon,Food & Drinks
2020-Q1,Thursday,3/26/20,Vaughan,ON,"Vaughan, ON",CAN,Mouthwash,24230,Cargo theft,Secure yard,No additional details,,Morning,Beauty & Personal Care
2020-Q1,Friday,3/27/20,Irving,TX,"Irving, TX",USA,Mixed goods,,Seal break,WH yard/parking,No additional details,No loss,,Mixed cargo
2020-Q2,Wednesday,4/1/20,Mira Loma,CA,"Mira Loma, CA",USA,Paper products,10000,Cargo theft,Unsecured location,No additional details,,Overnight,"Cleaning, Plastic, & Paper"
2020-Q2,Wednesday,4/1/20,Dallas,TX,"Dallas, TX",USA,Food products,50000,Cargo theft,WH yard/parking,No additional details,Recovered,,Food & Drinks
2020-Q2,Wednesday,4/1/20,Iselin,NJ,"Iselin, NJ",USA,Surgical masks,10000,Cargo theft,Unspecified,No additional details,,,Pharma & Medical supplies
2020-Q2,Wednesday,4/1/20,New York,NY,"New York, NY",USA,Face masks,9800,Cargo theft,Airline cargo terminal,No additional details,,,Pharma & Medical supplies
2020-Q2,Thursday,4/2/20,Dallas,TX,"Dallas, TX",USA,Personal care products,1000,Pilferage,Truck stop/Gas station,S Lancaster Rd,,Overnight,Beauty & Personal Care
2020-Q2,Thursday,4/2/20,Ft Worth,TX,"Ft Worth, TX",USA,Televisions,5000,Pilferage,WH yard/parking,No additional details,,Overnight,Consumer electronics
2020-Q2,Thursday,4/2/20,Rancho Cucamonga,CA,"Rancho Cucamonga, CA",USA,Air conditioners,215460,Cargo theft,Unsecured location,No additional details,,Overnight,Household & Appliances
2020-Q2,Thursday,4/2/20,Grand Prairie,TX,"Grand Prairie, TX",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q2,Friday,4/3/20,City of Industry,CA,"City of Industry, CA",USA,Computers/Laptops,69735,Pilferage,Roadside,No additional details,,Afternoon,Consumer electronics
2020-Q2,Friday,4/3/20,Hammond,IN,"Hammond, IN",USA,Mixed goods,5000,Pilferage,Parking lot,No additional details,,Early AM,Mixed cargo
2020-Q2,Friday,4/3/20,Selma,AL,"Selma, AL",USA,Mixed goods,500,Pilferage,Truck stop/Gas station,Cecil Jackson Bypass,,Early AM,Mixed cargo
2020-Q2,Saturday,4/4/20,Dallas,TX,"Dallas, TX",USA,Mixed goods,,Seal break,Truck stop/Gas station,S Polk St,No loss,,Mixed cargo
2020-Q2,Saturday,4/4/20,Miami,FL,"Miami, FL",USA,Protein powder,30168,Cargo theft,Roadside,No additional details,,Overnight,Pharma & Medical supplies
2020-Q2,Sunday,4/5/20,Houston,TX,"Houston, TX",USA,Paper towels,20000,Cargo theft,Roadside,No additional details,Recovered,Overnight,"Cleaning, Plastic, & Paper"
2020-Q2,Sunday,4/5/20,Memphis,TN,"Memphis, TN",USA,Computers/Laptops,20000,Pilferage,Roadside,No additional details,,Overnight,Consumer electronics
2020-Q2,Sunday,4/5/20,Dallas,TX,"Dallas, TX",USA,Meatballs,3500,Pilferage,Truck stop/Gas station,S Polk St,,Afternoon,Food & Drinks
2020-Q2,Sunday,4/5/20,Los Angeles,CA,"Los Angeles, CA",USA,Food products,165000,Cargo theft,Unsecured location,No additional details,,,Food & Drinks
2020-Q2,Sunday,4/5/20,Los Angeles,CA,"Los Angeles, CA",USA,Meat,35000,Cargo theft,Unsecured location,No additional details,,,Food & Drinks
2020-Q2,Sunday,4/5/20,San Antonio,TX,"San Antonio, TX",USA,Mixed goods,2500,Pilferage,Drop lot,No additional details,,,Mixed cargo
2020-Q2,Monday,4/6/20,Compton,CA,"Compton, CA",USA,Spices,100000,Cargo theft,Unsecured location,No additional details,,,Food & Drinks
2020-Q2,Monday,4/6/20,Mercer,CA,"Mercer, CA",USA,Juice,50000,Cargo theft,Unspecified,No additional details,,,Food & Drinks
2020-Q2,Monday,4/6/20,Turlock,CA,"Turlock, CA",USA,Sports drinks,500,Pilferage,Truck stop/Gas station,No additional details,,,Food & Drinks
2020-Q2,Tuesday,4/7/20,Irving,TX,"Irving, TX",USA,Televisions,400000,Cargo theft,Parking lot,No additional details,,Morning,Consumer electronics
2020-Q2,Tuesday,4/7/20,Baltimore,MD,"Baltimore, MD",USA,Mixed goods,,Seal break,Parking lot,No additional details,No loss,Overnight,Mixed cargo
2020-Q2,Tuesday,4/7/20,Temple,GA,"Temple, GA",USA,Liquor,106390,Cargo theft,Truck stop/Gas station,Carrllton St,,Early AM,Tobacco & Alcohol
2020-Q2,Wednesday,4/8/20,Los Angeles,CA,"Los Angeles, CA",USA,Pet food,59616,Cargo theft,Parking lot,No additional details,,Early AM,"Animal, Farm, & Equipment"
2020-Q2,Wednesday,4/8/20,Dallas,TX,"Dallas, TX",USA,Toilet paper,500,Pilferage,Parking lot,No additional details,,Morning,"Cleaning, Plastic, & Paper"
2020-Q2,Wednesday,4/8/20,Los Angeles,CA,"Los Angeles, CA",USA,Meat,92915,Cargo theft,Roadside,No additional details,,Overnight,Food & Drinks
2020-Q2,Wednesday,4/8/20,Walton Hills,OH,"Walton Hills, OH",USA,Sporting goods,20000,Cargo theft,Drop lot,No additional details,Partial,Evening,Merchandise
2020-Q2,Wednesday,4/8/20,Williamsville,IN,"Williamsville, IN",USA,Mixed goods,,Seal break,Truck stop/Gas station,Ann Rutledge Dr,No loss,,Mixed cargo
2020-Q2,Friday,4/10/20,Azusa,CA,"Azusa, CA",USA,Air blowers,15000,Cargo theft,Unsecured location,No additional details,,,"Animal, Farm, & Equipment"
2020-Q2,Friday,4/10/20,Clear Lake,WA,"Clear Lake, WA",USA,Consumer electronics,70000,Cargo theft,Unsecured location,No additional details,Recovered,,Consumer electronics
2020-Q2,Friday,4/10/20,Birmingham,AL,"Birmingham, AL",USA,Chicken,500,Pilferage,Truck stop/Gas station,Daniel Payne Dr,,Overnight,Food & Drinks
2020-Q2,Friday,4/10/20,St Augustine,FL,"St Augustine, FL",USA,Meat,99800,Cargo theft,Truck stop/Gas station,FL 206 W,,Early AM,Food & Drinks
2020-Q2,Saturday,4/11/20,Dallas,TX,"Dallas, TX",USA,Pet food,,Seal break,WH yard/parking,No additional details,No loss,,"Animal, Farm, & Equipment"
2020-Q2,Saturday,4/11/20,Carson,CA,"Carson, CA",USA,Apparel,300000,Cargo theft,Secure yard,No additional details,,Evening,Apparel
2020-Q2,Saturday,4/11/20,Marion,AR,"Marion, AR",USA,Stereos,229000,Cargo theft,Carrier yard/parking,No additional details,,,Consumer electronics
2020-Q2,Saturday,4/11/20,Dallas,TX,"Dallas, TX",USA,Energy drinks,44588,Cargo theft,Carrier yard/parking,No additional details,,,Food & Drinks
2020-Q2,Saturday,4/11/20,Ft Worth,TX,"Ft Worth, TX",USA,Beverages,60000,Cargo theft,Roadside,No additional details,,Overnight,Food & Drinks
2020-Q2,Saturday,4/11/20,Selma,AL,"Selma, AL",USA,Malt beverages,500,Cargo theft,Truck stop/Gas station,US 80,,Evening,Food & Drinks
2020-Q2,Saturday,4/11/20,Selma,AL,"Selma, AL",USA,Food products,3000,Pilferage,Truck stop/Gas station,Citizens Pkwy,,Overnight,Food & Drinks
2020-Q2,Saturday,4/11/20,Wood Dale,IL,"Wood Dale, IL",USA,Aluminum,70000,Cargo theft,Unsecured location,No additional details,,,Metals
2020-Q2,Saturday,4/11/20,Hialeah,FL,"Hialeah, FL",USA,Mixed goods,10000,Cargo theft,Drop lot,No additional details,,Overnight,Mixed cargo
2020-Q2,Saturday,4/11/20,Miami,FL,"Miami, FL",USA,Mixed goods,70000,Cargo theft,Parking lot,No additional details,,Overnight,Mixed cargo
2020-Q2,Sunday,4/12/20,Indianapolis,IN,"Indianapolis, IN",USA,Insectisides,6000,Cargo theft,Truck stop/Gas station,No additional details,,,"Animal, Farm, & Equipment"
2020-Q2,Sunday,4/12/20,Bridgeview,IL,"Bridgeview, IL",USA,Personal care products,100000,Cargo theft,Secure yard,No additional details,,Early AM,Beauty & Personal Care
2020-Q2,Sunday,4/12/20,Bridgeview,IL,"Bridgeview, IL",USA,Personal care products,40000,Cargo theft,Secure yard,No additional details,,Early AM,Beauty & Personal Care
2020-Q2,Sunday,4/12/20,Bridgeview,IL,"Bridgeview, IL",USA,Personal care products,35000,Cargo theft,Secure yard,No additional details,,Early AM,Beauty & Personal Care
2020-Q2,Sunday,4/12/20,W Palm Beach,FL,"W Palm Beach, FL",USA,Eggs,70000,Cargo theft,Roadside,No additional details,,Overnight,Food & Drinks
2020-Q2,Sunday,4/12/20,Comfort,TX,"Comfort, TX",USA,Mixed goods,,Seal break,Truck stop/Gas station,US 87,No loss,,Mixed cargo
2020-Q2,Monday,4/13/20,Haslet,TX,"Haslet, TX",USA,Apparel,300000,Cargo theft,Secure yard,No additional details,,Early AM,Apparel
2020-Q2,Monday,4/13/20,Dallas,TX,"Dallas, TX",USA,Industrial equipment,,Seal break,Truck stop/Gas station,S Lancaster Rd,No loss,Morning,Construction & Industrial goods
2020-Q2,Tuesday,4/14/20,Kearny,NJ,"Kearny, NJ",USA,Personal care products,5000,Pilferage,Drop lot,No additional details,,Overnight,Beauty & Personal Care
2020-Q2,Wednesday,4/15/20,Kearny,NJ,"Kearny, NJ",USA,Personal care products,500,Pilferage,Drop lot,No additional details,,Overnight,Beauty & Personal Care
2020-Q2,Wednesday,4/15/20,Dallas,TX,"Dallas, TX",USA,Sports drinks,500,Pilferage,Truck stop/Gas station,Lancaster Rd,,,Food & Drinks
2020-Q2,Wednesday,4/15/20,Irving,TX,"Irving, TX",USA,Phone cases,50000,Cargo theft,Unsecured location,No additional details,,Overnight,Merchandise
2020-Q2,Wednesday,4/15/20,Dallas,TX,"Dallas, TX",USA,Steel rebar,30000,Cargo theft,Roadside,No additional details,,,Metals
2020-Q2,Thursday,4/16/20,Dallas,TX,"Dallas, TX",USA,Refrigerators,50000,Cargo theft,WH yard/parking,No additional details,,,Household & Appliances
2020-Q2,Thursday,4/16/20,Indianapolis,IN,"Indianapolis, IN",USA,Mixed goods,,Seal break,Parking lot,No additional details,No loss,,Mixed cargo
2020-Q2,Friday,4/17/20,Rancho Cucamonga,CA,"Rancho Cucamonga, CA",USA,Toys,65000,Cargo theft,Unsecured location,No additional details,,,Merchandise
2020-Q2,Friday,4/17/20,Atlanta,GA,"Atlanta, GA",USA,Cigarettes,2100,Cargo theft,Truck stop/Gas station,Northside Dr,,,Tobacco & Alcohol
2020-Q2,Saturday,4/18/20,La Puente,CA,"La Puente, CA",USA,Consumer electronics,70900,Cargo theft,Carrier yard/parking,No additional details,,Evening,Consumer electronics
2020-Q2,Saturday,4/18/20,Grand Prairie,TX,"Grand Prairie, TX",USA,Mixed goods,3000,Pilferage,Drop lot,No additional details,,,Mixed cargo
2020-Q2,Saturday,4/18/20,,,", ",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,,Mixed cargo
2020-Q2,Sunday,4/19/20,Jurupa Valley,CA,"Jurupa Valley, CA",USA,Personal care products,199000,Cargo theft,Carrier yard/parking,No additional details,,,Beauty & Personal Care
2020-Q2,Sunday,4/19/20,Memphis,TN,"Memphis, TN",USA,Crackers,100,Pilferage,WH yard/parking,No additional details,,Overnight,Food & Drinks
2020-Q2,Sunday,4/19/20,Burlington,NC,"Burlington, NC",USA,Mixed goods,,Seal break,Truck stop/Gas station,I-85 S,No loss,,Mixed cargo
2020-Q2,Sunday,4/19/20,Markham,IL,"Markham, IL",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,,Mixed cargo
2020-Q2,Sunday,4/19/20,Dallas,TX,"Dallas, TX",USA,Vodka,2000,Pilferage,Truck stop/Gas station,Bonnie View Rd,,Overnight,Tobacco & Alcohol
2020-Q2,Monday,4/20/20,Millington,TN,"Millington, TN",USA,Computer monitors,3000,Pilferage,WH yard/parking,No additional details,,Early AM,Consumer electronics
2020-Q2,Monday,4/20/20,Irving,TX,"Irving, TX",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q2,Tuesday,4/21/20,Miami Gardens,FL,"Miami Gardens, FL",USA,Automobiles,554450,Cargo theft,Parking lot,No additional details,,Overnight,Automobile & Parts
2020-Q2,Tuesday,4/21/20,Kansas City,KS,"Kansas City, KS",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,Overnight,Mixed cargo
2020-Q2,Wednesday,4/22/20,Dallas,TX,"Dallas, TX",USA,Pet food,2000,Pilferage,Truck stop/Gas station,Bonnie View Rd,,Overnight,"Animal, Farm, & Equipment"
2020-Q2,Wednesday,4/22/20,Lake Havasu,AZ,"Lake Havasu, AZ",USA,Consumer electronics,70000,Cargo theft,Truck stop/Gas station,Wireless earbuds,,,Consumer electronics
2020-Q2,Wednesday,4/22/20,Atoka,OK,"Atoka, OK",USA,Mixed goods,,Seal break,Truck stop/Gas station,S Mississippi Ave,No loss,,Mixed cargo
2020-Q2,Wednesday,4/22/20,Minooka,IL,"Minooka, IL",USA,Mixed goods,,Seal break,Truck stop/Gas station,Ridge Rd,No loss,,Mixed cargo
2020-Q2,Thursday,4/23/20,Dallas,TX,"Dallas, TX",USA,Mixed goods,,Seal break,Truck stop/Gas station,S Polk St,No loss,,Mixed cargo
2020-Q2,Friday,4/24/20,S Harrison,NJ,"S Harrison, NJ",USA,Lamb,50000,Cargo theft,Unspecified,Fictitious pickup,,,Food & Drinks
2020-Q2,Friday,4/24/20,Atlanta,GA,"Atlanta, GA",USA,Cigarettes,3000,Pilferage,Truck stop/Gas station,No additional details,,Morning,Tobacco & Alcohol
2020-Q2,Saturday,4/25/20,Bronx,NY,"Bronx, NY",USA,Disinfectants,50000,Cargo theft,Parking lot,No additional details,,Overnight,"Cleaning, Plastic, & Paper"
2020-Q2,Saturday,4/25/20,Carlisle,PA,"Carlisle, PA",USA,Cleaning products,72031,Cargo theft,Drop lot,No additional details,,Evening,"Cleaning, Plastic, & Paper"
2020-Q2,Saturday,4/25/20,Bedford Park,IL,"Bedford Park, IL",USA,Fruit puree,65026,Cargo theft,Unsecured location,No additional details,,Overnight,Food & Drinks
2020-Q2,Saturday,4/25/20,Mississiaugi,ON,"Mississiaugi, ON",CAN,Ingots,40000,Cargo theft,Unsecured location,No additional details,,Overnight,Metals
2020-Q2,Sunday,4/26/20,Fresno,CA,"Fresno, CA",USA,Garden supplies,5000,Cargo theft,Residence,No additional details,,Overnight,"Animal, Farm, & Equipment"
2020-Q2,Sunday,4/26/20,Riverdale,CA,"Riverdale, CA",USA,Fertilizer,250000,Cargo theft,Unsecured location,No additional details,,,"Animal, Farm, & Equipment"
2020-Q2,Sunday,4/26/20,Dallas,TX,"Dallas, TX",USA,Paper products,10000,Cargo theft,Secure yard,No additional details,,,"Cleaning, Plastic, & Paper"
2020-Q2,Sunday,4/26/20,Dallas,TX,"Dallas, TX",USA,Detergent,500,Pilferage,Roadside,No additional details,,Evening,"Cleaning, Plastic, & Paper"
2020-Q2,Sunday,4/26/20,Auburndale,FL,"Auburndale, FL",USA,Appliances,107052,Cargo theft,Truck stop/Gas station,Hwy 559,,Evening,Household & Appliances
2020-Q2,Monday,4/27/20,S Brunswick,NJ,"S Brunswick, NJ",USA,Batteries,10000,Pilferage,Drop lot,No additional details,,Overnight,Automobile & Parts
2020-Q2,Monday,4/27/20,City of Industry,CA,"City of Industry, CA",USA,Air mattresses,100000,Cargo theft,Parking lot,No additional details,,Overnight,Household & Appliances
2020-Q2,Wednesday,4/29/20,Dallas,TX,"Dallas, TX",USA,Mixed goods,2500,Pilferage,Truck stop/Gas station,S Polk St,,Overnight,Mixed cargo
2020-Q2,Thursday,4/30/20,Santa Fe Springs,CA,"Santa Fe Springs, CA",USA,Shoes,100000,Cargo theft,Carrier yard/parking,No additional details,,Early AM,Apparel
2020-Q2,Thursday,4/30/20,Waxahachie,TX,"Waxahachie, TX",USA,Disinfectants,1000,Cargo theft,Roadside,No additional details,,Morning,"Cleaning, Plastic, & Paper"
2020-Q2,Thursday,4/30/20,Atlanta,GA,"Atlanta, GA",USA,Cigarettes,6930,Cargo theft,Truck stop/Gas station,No additional details,,,Tobacco & Alcohol
2020-Q2,Friday,5/1/20,La Grange,IL,"La Grange, IL",USA,Tires,50000,Cargo theft,Secure yard,No additional details,,Afternoon,Automobile & Parts
2020-Q2,Saturday,5/2/20,Port Wentworth,GA,"Port Wentworth, GA",USA,Paper towels,5000,Cargo theft,Drop lot,No additional details,,Overnight,"Cleaning, Plastic, & Paper"
2020-Q2,Sunday,5/3/20,Yorba Linda,CA,"Yorba Linda, CA",USA,Leaf blowers,8985,Pilferage,Rail yard,No additional details,,,"Animal, Farm, & Equipment"
2020-Q2,Monday,5/4/20,Los Angeles,CA,"Los Angeles, CA",USA,Lighters,250,Pilferage,Rail yard,No additional details,,Early AM,Merchandise
2020-Q2,Monday,5/4/20,Portage,IN,"Portage, IN",USA,Face masks,2200,Pilferage,Truck stop/Gas station,Clem Rd,,Afternoon,Pharma & Medical supplies
2020-Q2,Wednesday,5/6/20,N Las Vegas,NV,"N Las Vegas, NV",USA,Potato chips,2000,Pilferage,Carrier yard/parking,No additional details,,,Food & Drinks
2020-Q2,Wednesday,5/6/20,Houston,TX,"Houston, TX",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q2,Thursday,5/7/20,Detroit,MI,"Detroit, MI",USA,Mixed goods,,Seal break,Parking lot,No additional details,No loss,,Mixed cargo
2020-Q2,Friday,5/8/20,N Las Vegas,NV,"N Las Vegas, NV",USA,Toilet paper,650,Pilferage,Drop lot,No additional details,,Evening,"Cleaning, Plastic, & Paper"
2020-Q2,Friday,5/8/20,Tuscumbia,AL,"Tuscumbia, AL",USA,Fireworks,500,Pilferage,Truck stop/Gas station,No additional details,,Early AM,Merchandise
2020-Q2,Friday,5/8/20,South Holland,IL,"South Holland, IL",USA,Mixed goods,1500,Pilferage,Rest area,No additional details,,Morning,Mixed cargo
2020-Q2,Friday,5/8/20,Thornton,IL,"Thornton, IL",USA,Mixed goods,5000,Pilferage,Truck stop/Gas station,E Tri-State,,Morning,Mixed cargo
2020-Q2,Friday,5/8/20,Tonkawa,OK,"Tonkawa, OK",USA,Mixed goods,,Seal break,Truck stop/Gas station,W Fountain Rd,No loss,,Mixed cargo
2020-Q2,Saturday,5/9/20,Brookville,PA,"Brookville, PA",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q2,Saturday,5/9/20,Newark,NJ,"Newark, NJ",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q2,Sunday,5/10/20,McCook,IL,"McCook, IL",USA,Cookies,80000,Cargo theft,Carrier yard/parking,No additional details,,,Food & Drinks
2020-Q2,Sunday,5/10/20,Dallas,TX,"Dallas, TX",USA,Mixed goods,2500,Pilferage,Parking lot,No additional details,,,Mixed cargo
2020-Q2,Monday,5/11/20,Philadelphia,PA,"Philadelphia, PA",USA,Pasta sauce,2500,Pilferage,Roadside,No additional details,,,Food & Drinks
2020-Q2,Monday,5/11/20,Terrell,TX,"Terrell, TX",USA,Steel rebar,50000,Cargo theft,Parking lot,No additional details,,Evening,Metals
2020-Q2,Monday,5/11/20,Richmond,IN,"Richmond, IN",USA,Mixed goods,,Seal break,Truck stop/Gas station,US 30 padlock prevented further breach,No loss,,Mixed cargo
2020-Q2,Tuesday,5/12/20,Kenly,NC,"Kenly, NC",USA,Food products,,Seal break,Truck stop/Gas station,Truckstop Rd,No loss,Overnight,Food & Drinks
2020-Q2,Tuesday,5/12/20,Memphis,TN,"Memphis, TN",USA,Mixed goods,2000,Pilferage,Roadside,No additional details,,Morning,Mixed cargo
2020-Q2,Wednesday,5/13/20,Kenly,NC,"Kenly, NC",USA,Mixed goods,,Seal break,Truck stop/Gas station,Johnston Pkwy,No loss,,Mixed cargo
2020-Q2,Thursday,5/14/20,Toomsuba,MS,"Toomsuba, MS",USA,Mixed goods,,Seal break,Truck stop/Gas station,Will Garrett Rd,No loss,,Mixed cargo
2020-Q2,Friday,5/15/20,Knoxville,TN,"Knoxville, TN",USA,Cleaning products,,Seal break,Truck stop/Gas station,Lovell Rd,No loss,Morning,"Cleaning, Plastic, & Paper"
2020-Q2,Saturday,5/16/20,Bloomington,CA,"Bloomington, CA",USA,Audio equipment,1920000,Cargo theft,Unsecured location,No additional details,,,Consumer electronics
2020-Q2,Sunday,5/17/20,Lemont,IL,"Lemont, IL",USA,Automobiles,50000,Cargo theft,Carrier yard/parking,No additional details,,Overnight,Automobile & Parts
2020-Q2,Sunday,5/17/20,Etobicoke,ON,"Etobicoke, ON",CAN,Televisions,34650,Cargo theft,Secure yard,No additional details,,Morning,Consumer electronics
2020-Q2,Sunday,5/17/20,Paterson,NJ,"Paterson, NJ",USA,Chicken,100000,Cargo theft,Unsecured location,No additional details,,,Food & Drinks
2020-Q2,Sunday,5/17/20,Memphis,TN,"Memphis, TN",USA,Mixed goods,,Seal break,WH yard/parking,No additional details,No loss,Overnight,Mixed cargo
2020-Q2,Sunday,5/17/20,San Francisco,CA,"San Francisco, CA",USA,PPE,684000,Cargo theft,Airline cargo terminal,Import from China,,,Pharma & Medical supplies
2020-Q2,Monday,5/18/20,Atlanta,GA,"Atlanta, GA",USA,Pet food,1000,Pilferage,Truck stop/Gas station,Bouldercrest Rd,,Evening,"Animal, Farm, & Equipment"
2020-Q2,Monday,5/18/20,Moreno Valley,CA,"Moreno Valley, CA",USA,Detergent,1000,Pilferage,Roadside,No additional details,,Overnight,"Cleaning, Plastic, & Paper"
2020-Q2,Monday,5/18/20,Moreno Valley,CA,"Moreno Valley, CA",USA,Laundry detergent,1000,Pilferage,Roadside,No additional details,,Overnight,"Cleaning, Plastic, & Paper"
2020-Q2,Tuesday,5/19/20,Grapevine,TX,"Grapevine, TX",USA,Televisions,2500,Pilferage,Unsecured location,No additional details,,,Consumer electronics
2020-Q2,Tuesday,5/19/20,Grapevine,TX,"Grapevine, TX",USA,Televisions,2500,Pilferage,Unsecured location,No additional details,,,Consumer electronics
2020-Q2,Tuesday,5/19/20,Hammond,IN,"Hammond, IN",USA,Music equipment,100000,Cargo theft,Roadside,No additional details,,Overnight,Household & Appliances
2020-Q2,Wednesday,5/20/20,Dallas,TX,"Dallas, TX",USA,Store fixtures,,Seal break,Truck stop/Gas station,Lancaster Rd,No loss,Overnight,Construction & Industrial goods
2020-Q2,Wednesday,5/20/20,City of Industry,CA,"City of Industry, CA",USA,Energy drinks,43167,Cargo theft,Roadside,No additional details,,Evening,Food & Drinks
2020-Q2,Friday,5/22/20,Chicago,IL,"Chicago, IL",USA,Toothbrushes,2000,Pilferage,Rail yard,No additional details,,,Beauty & Personal Care
2020-Q2,Friday,5/22/20,Edison,NJ,"Edison, NJ",USA,Energy drinks,55000,Cargo theft,WH yard/parking,No additional details,,Overnight,Food & Drinks
2020-Q2,Friday,5/22/20,Dallas,TX,"Dallas, TX",USA,Appliances,66728,Cargo theft,Drop lot,No additional details,,Overnight,Household & Appliances
2020-Q2,Friday,5/22/20,Houston,TX,"Houston, TX",USA,Mixed goods,2500,Pilferage,Truck stop/Gas station,N McCarty Rd,,Overnight,Mixed cargo
2020-Q2,Saturday,5/23/20,N Las Vegas,NV,"N Las Vegas, NV",USA,Lawn mowers,7000,Cargo theft,Drop lot,No additional details,,Early AM,"Animal, Farm, & Equipment"
2020-Q2,Saturday,5/23/20,Oak Grove,KY,"Oak Grove, KY",USA,Weed killer,100,Pilferage,Truck stop/Gas station,Pembroke Oak Grove Rd,,Overnight,"Animal, Farm, & Equipment"
2020-Q2,Saturday,5/23/20,N Las Vegas,NV,"N Las Vegas, NV",USA,Bleach,500,Cargo theft,Drop lot,No additional details,,Early AM,"Cleaning, Plastic, & Paper"
2020-Q2,Saturday,5/23/20,Irving,TX,"Irving, TX",USA,Roof shingles,100000,Cargo theft,Truck stop/Gas station,N Loop 12,,,Construction & Industrial goods
2020-Q2,Saturday,5/23/20,Dallas,TX,"Dallas, TX",USA,Chicken,20718,Pilferage,Roadside,No additional details,,,Food & Drinks
2020-Q2,Sunday,5/24/20,Miami,FL,"Miami, FL",USA,Cleaning products,66560,Cargo theft,Parking lot,No additional details,,Overnight,"Cleaning, Plastic, & Paper"
